nbSyll;pron;origin;warning;remarques;POS;lineId;pageId;motVedette;sizePron;hwd;pronSampa;ipa
2;detaiʹl;F.;;;n.;69.0;68;detail;7;detail;d i t eI l;dit?l
2;detaiʹn;L.;;;v.;70.0;68;detain;7;detain;d i t eI n;dit?n
2;detĕʹct;L.;;;v.;71.0;68;detect;7;detect;d i t E k t;ditɛkt
4;detĕʹction;L.;;;n.;2.0;69;detection;10;detection;d i t E k S @ n;ditɛkʃən
4;detĕʹntion;L.;;;n.;3.0;69;detention;10;detention;d i t E n S @ n;ditɛnʃən
2;detĕʹr;L.;;;v.;4.0;69;deter;6;deter;d i t 3:r;ditɜ:r
3;detĕʹrgent;L.;;;a.;5.0;69;detergent;10;detergent;d i t 3:r dZ @ n t;ditɜ:r?ənt
5;detĕʹrmĭnable;;;;a.;6.0;69;determinable;13;determinable;d i t 3:r m @ n @ b @ l;ditɜ:rmənəbəl
4;detĕʹrmĭnate;;;;a.;7.0;69;determinate;12;determinate;d i t 3:r m @ n eI t;ditɜ:rmən?t
6;detĕrmĭnāʹtion;;;;n.;8.0;69;determination;14;determination;d i t 3:r m @ n eI S @ n;ditɜ:rmən?ʃən
3;detĕʹrmĭne;L.;;;v.;9.0;69;determine;10;determine;d @ t 3:r m @ n;dətɜ:rmən
2;detĕʹſt;L.;;;v.;11.0;69;detest;7;detest;d i t E s t;ditɛst
3;dethrōʹne;F.;;;v.;14.0;69;dethrone;9;dethrone;d i T r\ @U n;diθɹoʊn
2;detrăʹct;L.;;;v.;15.0;69;detract;8;detract;d i t r\ { k t;ditɹækt
3;dĕʹtrĭment;F.;;;n.;17.0;69;detriment;10;detriment;d E t r\ @ m @ n t;dɛtɹəmənt
4;dĕtrĭmĕʹntal;;;;a.;18.0;69;detrimental;12;detrimental;d E t r\ @ m E n t @ l;dɛtɹəmɛntəl
5;devăſtāʹtion;;;;n.;20.0;69;devastation;12;devastation;d E v @ s t eI S @ n;dɛvəst?ʃən
3;dĕʹvĭāte;L.;;;v.;22.0;69;deviate;8;deviate;d i: v i: eI t;diːviː?t
5;dĕvĭāʹtion;;;;n.;23.0;69;deviation;10;deviation;d i: v i: eI S @ n;diːviː?ʃən
2;devīʹce;F.;;;n.;24.0;69;device;7;device;d i v aI s;div?s
2;dĕʹvil;F.;;;n.;25.0;69;devil;6;devil;d E v @ l;dɛvəl
2;devīʹſe;F.;;;v.;26.0;69;devise;7;devise;d i v aI z;div?z
2;devoiʹd;;;;a.;29.0;69;devoid;7;devoid;d i v OI d;div?d
2;devŏʹlve;L.;;;v.;31.0;69;devolve;8;devolve;d i v A l v;divɑlv
2;devōʹte;;;;v.;32.0;69;devote;7;devote;d i v @U t;divoʊt
3;devōʹted;;;;a.;33.0;69;devoted;8;devoted;d i v @U 4 @ d;divoʊɾəd
3;dĕvōʹteeʹ;F.;;;n.;34.0;69;devotee;9;devotee;d E v @ t i:;dɛvətiː
4;devōʹtion;;;;n.;35.0;69;devotion;9;devotion;d i v @U S @ n;divoʊʃən
1;dew;;;;n.;38.0;69;dew;3;dew;d u;du
2;deʹwy;;;;a.;40.0;69;dewy;5;dewy;d u i:;duiː
4;dĕxtĕʹrĭty;F.;;;n.;41.0;69;dexterity;10;dexterity;d E k s t E r\ @ 4 i:;dɛkstɛɹəɾiː
3;dĕʹxtĕr_o_us;F.;;;a.;42.0;69;dexterous;12;dexterous;d E k s t r\ @ s;dɛkstɹəs
1;dey;;;;n.;43.0;69;dey;3;dey;d eI;d?
4;dīăbēʹtès;G.;;;n.;44.0;69;diabetes;9;diabetes;d aI @ b i: 4 i: z;d?əbiːɾiːz
5;dīăbŏʹlĭcal;;;;a.;45.0;69;diabolical;11;diabolical;d aI @ b A l i k @ l;d?əbɑlikəl
3;dīʹădem;G.;;;n.;47.0;69;diadem;7;diadem;d aI @ d E m;d?ədɛm
4;dīăgnŏʹſtic;G.;;;n.;49.0;69;diagnostic;11;diagnostic;d aI @ g n A s t i k;d?əgnɑstik
4;dīăʹgŏnal;G.;;;n.;50.0;69;diagonal;9;diagonal;d aI { g @ n @ l;d?ægənəl
3;dīʹagram;G.;;;n.;51.0;69;diagram;8;diagram;d aI @ g r\ { m;d?əgɹæm
2;dīʹal;L.;;;n.;53.0;69;dial;5;dial;d aI @ l;d?əl
3;dīʹălĕct;G.;;;n.;54.0;69;dialect;8;dialect;d aI @ l E k t;d?əlɛkt
3;dīʹălog_ue_;G.;;;n.;56.0;69;dialogue;11;dialogue;d aI @ l O: g;d?əlOːg
4;dīăʹmĕt_e_r;;;;n.;57.0;69;diameter;11;diameter;d aI { m @ 4 3:r;d?æməɾɜ:r
6;dīămĕʹtrĭcally;;;;n.;59.0;69;diametrically;14;diametrically;d aI @ m E t r\ i k @ l i:;d?əmɛtɹikəliː
3;dīʹ_a_mond;F.;;;n.;60.0;69;diamond;10;diamond;d aI m @ n d;d?mənd
3;dīăʹnā;;;;n.;61.0;69;diana;6;diana;d aI { n @;d?ænə
3;dīʹ_a_p_e_r;;;;n.;63.0;69;diaper;11;diaper;d aI p 3:r;d?pɜ:r
3;dīʹăphră_g_m;G.;;;n.;67.0;69;diaphragm;12;diaphragm;d aI @ f r\ { m;d?əfɹæm
5;dīărr_ho_ēʹā;G.;;;n.;68.0;69;diarrhoea;12;diarrhoea;d aI 3:r i: @;d?ɜ:riːə
3;dīʹăry;;;;n.;69.0;69;diary;6;diary;d aI 3:r i:;d?ɜ:riː
4;dīăʹſtŏlè;G.;;;n.;70.0;69;diastole;9;diastole;d aI { s t @ l i:;d?æstəliː
2;dĭʹck_e_r;;;;n.;72.0;69;dicker;9;dicker;d I k 3:r;dɪkɜ:r
2;dĭʹctāte;L.;;;v.;73.0;69;dictate;8;dictate;d i k t eI t;dikt?t
2;dĭʹctāt_e_s;;;;n.;2.0;70;dictates;11;dictates;d i k t eI t s;dikt?ts
3;dĭctaʹtor;L.;;;n.;3.0;70;dictator;9;dictator;d i k t eI 4 3:r;dikt?ɾɜ:r
5;dĭctătōʹrĭal;;;;a.;4.0;70;dictatorial;12;dictatorial;d I k t @ t O: r\ i: @ l;dɪktətOːɹiːəl
4;dĭctaʹtorſhip;L.;;;n.;5.0;70;dictatorship;13;dictatorship;d i k t eI 4 3:r S I p;dikt?ɾɜ:rʃɪp
5;dĭʹctionăry;;;;n.;6.0;70;dictionary;11;dictionary;d I k S @ n E r\ i:;dɪkʃənɛɹiː
3;dĭdăʹctic;G.;;;a.;7.0;70;didactic;9;didactic;d aI d { k t i k;d?dæktik
1;dīe;;;;n.;9.0;70;die;3;die;d aI;d?
2;dīʹer;;;;n.;10.0;70;dier;5;dier;d i: 3:r;diːɜ:r
2;dīʹet;F.;;;n.;11.0;70;diet;5;diet;d aI @ t;d?ət
2;dīʹff_e_r;L.;;;v.;12.0;70;differ;9;differ;d I f 3:r;dɪfɜ:r
3;dĭʹffĕrĕnce;L.;;;n.;13.0;70;difference;11;difference;d I f 3:r @ n s;dɪfɜ:rəns
4;dĭʹffĭcŭlty;L.;;;a.;14.0;70;difficulty;11;difficulty;d I f @ k @ l t i:;dɪfəkəltiː
2;dĭffūʹſe;L.;;;v.;17.0;70;diffuse;8;diffuse;d i f j u s;difjus
4;dĭffūʹſion;;;;n.;18.0;70;diffusion;10;diffusion;d i f j u Z @ n;difjuʒən
1;dĭg;;;;v.;20.0;70;dig;3;dig;d I g;dɪg
2;dĭgĕʹſt;L.;;;v.;21.0;70;digest;7;digest;d aI dZ E s t;d??ɛst
4;dĭgĕʹſtion;;;;n.;22.0;70;digestion;10;digestion;d aI dZ E s tS @ n;d??ɛs?ən
2;dĭʹgĭt;;;;n.;23.0;70;digit;6;digit;d I dZ @ t;dɪ?ət
4;dĭʹgnĭfy;;;;n.;24.0;70;dignify;8;dignify;d I g n @ f aI;dɪgnəf?
4;dĭʹgnĭtăry;;;;n.;25.0;70;dignitary;10;dignitary;d I g n @ t E r\ i:;dɪgnətɛɹiː
3;dĭʹgnĭty;L.;;;n.;26.0;70;dignity;8;dignity;d I g n @ 4 i:;dɪgnəɾiː
2;dĭgrĕʹſs;L.;;;v.;27.0;70;digress;8;digress;d aI g r\ E s;d?gɹɛs
4;dĭgrĕſſion;;nbSyll>1 et pas d'accent tonic;;n.;28.0;70;digression;10;digression;d aI g r\ E S @ n;d?gɹɛʃən
1;dīke;;;;n.;29.0;70;dike;4;dike;d aI k;d?k
2;dīlāʹte;F.;;;v.;31.0;70;dilate;7;dilate;d aI l eI t;d?l?t
3;dĭʹlătŏry;L.;;;a.;32.0;70;dilatory;9;dilatory;d I l @ t O: r\ i:;dɪlətOːɹiː
3;dīlĕʹmmā;G.;;;n.;33.0;70;dilemma;8;dilemma;d i l E m @;dilɛmə
3;dĭʹlĭgĕnce;L.;;;n.;34.0;70;diligence;10;diligence;d I l @ dZ @ n s;dɪlə?əns
2;dīlūʹte;L.;;;v.;37.0;70;dilute;7;dilute;d aI l u t;d?lut
4;dīlūʹtion;;;;n.;38.0;70;dilution;9;dilution;d aI l u S @ n;d?luʃən
1;dĭm;;;;a.;39.0;70;dim;3;dim;d I m;dɪm
4;dĭmĕʹnſion;L.;;;n.;40.0;70;dimension;10;dimension;d i m E n S @ n;dimɛnʃən
3;dĭmĭʹniſh;;;;v.;41.0;70;diminish;9;diminish;d i m I n i S;dimɪniʃ
5;dĭmĭʹnūtion;;;;n.;42.0;70;diminution;11;diminution;d I m @ n u S @ n;dɪmənuʃən
4;dĭmĭʹnūtive;;;;n.;43.0;70;diminutive;11;diminutive;d i m I n j @ 4 i v;dimɪnjəɾiv
2;dĭʹmple;;;;n.;46.0;70;dimple;7;dimple;d I m p @ l;dɪmpəl
1;dĭn;;;;n.;47.0;70;din;3;din;d I n;dɪn
1;dīne;F.;;;v.;49.0;70;dine;4;dine;d aI n;d?n
1;dĭng;;;;v.;50.0;70;ding;4;ding;d I N;dɪŋ
2;dĭʹnner;;;;n.;51.0;70;dinner;7;dinner;d I n 3:r;dɪnɜ:r
1;dĭnt;;;;n.;52.0;70;dint;4;dint;d I n t;dɪnt
4;dīocēʹſan;F.;;;n.;53.0;70;diocesan;9;diocesan;d aI A s @ s @ n;d?ɑsəsən
3;dīʹŏcĕſe;G.;;;n.;54.0;70;diocese;8;diocese;d aI @ s i: z;d?əsiːz
1;dĭp;;;;v.;58.0;70;dip;3;dip;d I p;dɪp
3;dĭplōʹmā;G.;;;n.;60.0;70;diploma;8;diploma;d i p l @U m @;diploʊmə
1;dīre;;;;a.;61.0;70;dire;4;dire;d aI r\;d?ɹ
2;dīrĕʹct;L.;;;a.;62.0;70;direct;7;direct;d 3:r E k t;dɜ:rɛkt
4;dīrĕʹction;;;;n.;63.0;70;direction;10;direction;d 3:r E k S @ n;dɜ:rɛkʃən
3;dīrĕʹctor;;;;n.;64.0;70;director;9;director;d 3:r E k t 3:r;dɜ:rɛktɜ:r
2;dĭʹrgè;;;;n.;65.0;70;dirge;6;dirge;d 3:r dZ;dɜ:r?
1;dĭrt;;;;n.;66.0;70;dirt;4;dirt;d 3:r t;dɜ:rt
2;dĭʹrty;;;;a.;67.0;70;dirty;6;dirty;d 3:r 4 i:;dɜ:rɾiː
3;dĭsāʹble;;;;v.;68.0;70;disable;8;disable;d i s eI b @ l;dis?bəl
5;dĭsăbĭʹlĭty;;;;n.;69.0;70;disability;11;disability;d I s @ b I l i 4 i:;dɪsəbɪliɾiː
3;dĭsăbūʹſe;F.;;;v.;70.0;70;disabuse;9;disabuse;d i s @ b j u s;disəbjus
4;dĭsădvăʹntage;;;;n.;71.0;70;disadvantage;13;disadvantage;d I s @ d v { n t i dZ;dɪsədvænti?
6;dĭsădvăntāʹgē_o_us;;;;a.;72.0;70;disadvantageous;18;disadvantageous;d I s { d v { n t eI dZ @ s;dɪsædvænt??əs
4;dĭsăffĕʹcted;;;;a.;73.0;70;disaffected;12;disaffected;d I s @ f E k t i d;dɪsəfɛktid
3;dĭsăgreeʹ;F.;;;v.;74.0;70;disagree;9;disagree;d i s @ g r\ i:;disəgɹiː
5;dĭsăgreeʹable;;;;a.;2.0;71;disagreeable;13;disagreeable;d I s @ g r\ i: @ b @ l;dɪsəgɹiːəbəl
4;dĭsăgreeʹment;;;;n.;3.0;71;disagreement;13;disagreement;d i s @ g r\ i: m @ n t;disəgɹiːmənt
3;dĭsăllȯʹẇ;;;;v.;4.0;71;disallow;9;disallow;d I s @ l aU;dɪsəl?
3;dĭsăppeaʹr;L.;;;v.;6.0;71;disappear;10;disappear;d I s @ p I r\;dɪsəpɪɹ
3;dĭsăppoiʹnt;;;;v.;7.0;71;disappoint;11;disappoint;d I s @ p OI n t;dɪsəp?nt
3;dĭsăpproʹve;F.;;;v.;8.0;71;disapprove;11;disapprove;d I s @ p r\ u v;dɪsəpɹuv
2;dĭsăʹrm;F.;;;v.;9.0;71;disarm;7;disarm;d i s A r\ m;disɑɹm
3;dĭsăʹſt_e_r;F.;;;n.;10.0;71;disaster;11;disaster;d i z { s t 3:r;dizæstɜ:r
3;dĭsăʹſtr_o_us;;;;a.;11.0;71;disastrous;13;disastrous;d i z { s t r\ @ s;dizæstɹəs
3;dĭsăvȯʹẇ;F.;;;v.;12.0;71;disavow;8;disavow;d I s @ v aU;dɪsəv?
2;dĭſbăʹnd;F.;;;v.;13.0;71;disband;8;disband;d i s b { n d;disbænd
3;dĭſbĕlieʹf;;;;n.;14.0;71;disbelief;10;disbelief;d I s b i l i: f;dɪsbiliːf
3;dĭſbĕlieʹve;;;;v.;15.0;71;disbelieve;11;disbelieve;d i s b @ l i: v;disbəliːv
2;dĭſbŭʹrſe;F.;;;v.;16.0;71;disburse;9;disburse;d i s b 3:r s;disbɜ:rs
3;dĭſbŭʹrſ_e_ments;;;;n.;17.0;71;disbursements;16;disbursements;d i s b 3:r s m @ n t s;disbɜ:rsmənts
2;dĭſcaʹrd;;;;v.;19.0;71;discard;8;discard;d i s k A r\ d;diskɑɹd
2;dĭſcĕʹrn;F.;;;v.;20.0;71;discern;8;discern;d i s 3:r n;disɜ:rn
4;dĭſcĕʹrnĭble;;;;a.;21.0;71;discernible;12;discernible;d i s 3:r n @ b @ l;disɜ:rnəbəl
3;dĭſcĕʹrnment;;;;n.;22.0;71;discernment;12;discernment;d i s 3:r n m @ n t;disɜ:rnmənt
2;dĭſchăʹrge;F.;;;n.;24.0;71;discharge;10;discharge;d i s tS A r\ dZ;dis?ɑɹ?
3;dĭſcīʹple;L.;;;n.;25.0;71;disciple;9;disciple;d i s aI p @ l;dis?pəl
3;dĭʹſcĭplīne;L.;;;n.;26.0;71;discipline;11;discipline;d I s @ p l @ n;dɪsəplən
2;diſclaiʹm;;;;v.;27.0;71;disclaim;9;disclaim;d i s k l eI m;diskl?m
2;dĭſclōʹſe;;;;v.;28.0;71;disclose;9;disclose;d i s k l @U z;diskloʊz
3;dĭſcŏʹmfort;F.;;;v.;31.0;71;discomfort;11;discomfort;d i s k V m f 3:r t;diskʌmfɜ:rt
3;dĭſcŏncĕʹrt;F.;;;v.;36.0;71;disconcert;11;disconcert;d I s k @ n s 3:r t;dɪskənsɜ:rt
3;dĭſcŏntĕʹnt;;;;n.;38.0;71;discontent;11;discontent;d i s k @ n t E n t;diskəntɛnt
5;dĭſcŏntĭʹnūănce;F.;;;n.;39.0;71;discontinuance;15;discontinuance;d I s k @ n t I n j u @ n s;dɪskəntɪnjuəns
4;dĭſcŏntĭʹnūe;F.;;;v.;40.0;71;discontinue;12;discontinue;d i s k @ n t I n j u;diskəntɪnju
2;dĭʹſcŏrd;L.;;;n.;41.0;71;discord;8;discord;d I s k O: r\ d;dɪskOːɹd
3;dĭſcŏʹrdănt;F.;;;a.;42.0;71;discordant;11;discordant;d i s k O: r\ d @ n t;diskOːɹdənt
3;dĭſcŏʹver;F.;;;v.;43.0;71;discover;9;discover;d i s k V v 3:r;diskʌvɜ:r
3;dĭſc_o_ŭʹrage;F.;;;v.;46.0;71;discourage;13;discourage;d i s k 3:r i dZ;diskɜ:ri?
4;dĭſc_o_ŭʹrag_e_ment;;;;n.;47.0;71;discouragement;19;discouragement;d i s k 3:r i dZ m @ n t;diskɜ:ri?mənt
2;dĭſco_u_ʹrſe;F.;;;n.;48.0;71;discourse;12;discourse;d I s k O: r\ s;dɪskOːɹs
3;dĭſcrĕʹdit;;;;v.;50.0;71;discredit;10;discredit;d i s k r\ E 4 @ t;diskɹɛɾət
2;dĭſcreeʹt;F.;;;a.;51.0;71;discreet;9;discreet;d i s k r\ i: t;diskɹiːt
4;dĭſcrĕʹtion;F.;;;n.;52.0;71;discretion;11;discretion;d i s k r\ E S @ n;diskɹɛʃən
4;dĭſcrĭʹmĭnāte;L.;;;v.;53.0;71;discriminate;13;discriminate;d i s k r\ I m @ n eI t;diskɹɪmən?t
2;dĭſcŭʹſs;L.;;;v.;54.0;71;discuss;8;discuss;d i s k V s;diskʌs
4;dĭſcŭʹſſion;;;;n.;55.0;71;discussion;11;discussion;d i s k V S @ n;diskʌʃən
2;dĭſdaiʹn;F.;;;n.;56.0;71;disdain;8;disdain;d i s d eI n;disd?n
3;dĭſdaiʹnful;;;;a.;57.0;71;disdainful;11;disdainful;d i s d eI n f @ l;disd?nfəl
2;dĭſeaʹſe;F.;;;n.;59.0;71;disease;8;disease;d i z i: z;diziːz
3;dĭſeaʹſed;;;;a.;60.0;71;diseased;9;diseased;d i z i: z d;diziːzd
3;dĭsĕmbăʹrk;F.;;;v.;61.0;71;disembark;10;disembark;d i s E m b A r\ k;disɛmbɑɹk
3;dĭsĕngāʹge;F.;;;v.;64.0;71;disengage;10;disengage;d i s i n g eI dZ;dising??
4;dĭsĕngāʹged;;;;a.;65.0;71;disengaged;11;disengaged;d i s i n g eI dZ d;dising??d
4;dĭsĕnfrăʹnchīſe;;;;v.;66.0;71;disenfranchise;15;disenfranchise;d i s i n f r\ { n tS aI z;disinfɹæn??z
4;dĭsĕntăʹngle;;;;v.;67.0;71;disentangle;12;disentangle;d I s @ n t { N g @ l;dɪsəntæŋgəl
3;dĭsfĭʹgŭre;F.;;;v.;70.0;71;disfigure;10;disfigure;d i s f I g j 3:r;disfɪgjɜ:r
2;dĭſgŏʹrge;F.;;;v.;72.0;71;disgorge;9;disgorge;d i s g O: r\ dZ;disgOːɹ?
2;dĭſgrāʹce;F.;;;v.;73.0;71;disgrace;9;disgrace;d i s g r\ eI s;disgɹ?s
3;dĭſgrāʹc_e_ful;;;;a.;2.0;72;disgraceful;14;disgraceful;d i s g r\ eI s f @ l;disgɹ?sfəl
2;dĭſg_u_īʹſe;F.;;;v.;3.0;72;disguise;11;disguise;d i s g aI z;disg?z
2;dĭſgŭʹſt;F.;;;n.;4.0;72;disgust;8;disgust;d i s g V s t;disgʌst
1;dĭſh;;;;n.;5.0;72;dish;4;dish;d I S;dɪʃ
3;dĭſhŏʹneſt;;;;a.;10.0;72;dishonest;10;dishonest;d i s A n @ s t;disɑnəst
4;dĭſhŏʹnĕſty;L.;;;n.;11.0;72;dishonesty;11;dishonesty;d i s A n @ s t i:;disɑnəstiː
5;dĭsĭngĕʹnū_o_us;L.;;;a.;16.0;72;disingenuous;15;disingenuous;d i s i n dZ E n j u @ s;disin?ɛnjuəs
5;dĭsʹĭntĕrĕſted;F.;;;a.;18.0;72;disinterested;14;disinterested;d i s I n t r\ i s t i d;disɪntɹistid
2;dĭsjoiʹnt;F.;;;v.;21.0;72;disjoint;9;disjoint;d i s dZ OI n t;dis??nt
4;dĭsjŭʹnction;L.;;;n.;22.0;72;disjunction;12;disjunction;d i s dZ V N k S @ n;dis?ʌŋkʃən
1;dĭſk;;;;n.;24.0;72;disk;4;disk;d I s k;dɪsk
2;dĭſlīʹke;;;;v.;25.0;72;dislike;8;dislike;d i s l aI k;disl?k
3;dĭʹſlŏcāte;;;;v.;26.0;72;dislocate;10;dislocate;d I s l @U k eI t;dɪsloʊk?t
2;dĭſlŏʹdge;F.;;;v.;27.0;72;dislodge;9;dislodge;d i s l A dZ;dislɑ?
4;dĭſloʹyălty;F.;;;n.;28.0;72;disloyalty;11;disloyalty;d i s l OI @ l t i:;disl?əltiː
2;dĭʹſmal;;;;a.;29.0;72;dismal;7;dismal;d I z m @ l;dɪzməl
3;dĭʹſmăʹntle;F.;;;v.;30.0;72;dismantle;11;dismantle;d i s m { n t @ l;dismæntəl
2;dĭſmaʹy;;;;v.;31.0;72;dismay;7;dismay;d i s m eI;dism?
3;dĭſmĕʹmb_e_r;F.;;;v.;32.0;72;dismember;12;dismember;d i s m E m b 3:r;dismɛmbɜ:r
5;dĭsŏbēʹdĭĕnce;F.;;;n.;36.0;72;disobedience;13;disobedience;d I s @ b i: 4 i: @ n s;dɪsəbiːɾiːəns
3;dĭsŏbeʹy;F.;;;v.;37.0;72;disobey;8;disobey;d I s @ b eI;dɪsəb?
3;dĭsŏʹrd_e_r;F.;;;n.;39.0;72;disorder;11;disorder;d i s O: r\ 4 3:r;disOːɹɾɜ:r
2;dĭſȯʹẇn;;;;v.;40.0;72;disown;7;disown;d i s @U n;disoʊn
3;dĭſpăʹrage;F.;;;v.;41.0;72;disparage;10;disparage;d i s p E r\ i dZ;dispɛɹi?
4;dĭſpāʹrĭty;F.;;;n.;43.0;72;disparity;10;disparity;d i s p E r\ @ 4 i:;dispɛɹəɾiː
2;dĭſpăʹtch;F.;;;n.;45.0;72;dispatch;9;dispatch;d i s p { tS;dispæ?
2;dĭſpĕʹl;;;;v.;46.0;72;dispel;7;dispel;d i s p E l;dispɛl
4;dĭſpĕʹnsăry;F.;;;n.;47.0;72;dispensary;11;dispensary;d i s p E n s 3:r i:;dispɛnsɜ:riː
5;dĭſpĕnsāʹtion;;;;n.;48.0;72;dispensation;13;dispensation;d I s p @ n s eI S @ n;dɪspəns?ʃən
2;dĭſpĕʹnſe;L.;;;v.;49.0;72;dispense;9;dispense;d i s p E n s;dispɛns
2;dĭſpĕʹrſe;F.;;;v.;51.0;72;disperse;9;disperse;d i s p 3:r s;dispɜ:rs
4;dĭſpĕʹrſion;;;;n.;52.0;72;dispersion;11;dispersion;d i s p 3:r Z @ n;dispɜ:rʒən
2;dĭſplāʹce;F.;;;v.;54.0;72;displace;9;displace;d i s p l eI s;displ?s
2;dĭſplaʹy;F.;;;v.;56.0;72;display;8;display;d i s p l eI;displ?
2;dĭſpleaʹſe;F.;;;v.;57.0;72;displease;10;displease;d i s p l i: z;displiːz
3;dĭſpleaʹſūre;;;;n.;58.0;72;displeasure;12;displeasure;d i s p l E Z 3:r;displɛʒɜ:r
3;dĭſpōʹſal;;;;n.;60.0;72;disposal;9;disposal;d i s p @U z @ l;dispoʊzəl
2;dĭſpōʹſe;F.;;;v.;61.0;72;dispose;8;dispose;d i s p @U z;dispoʊz
5;dĭſpŏsĭʹtion;;;;n.;62.0;72;disposition;12;disposition;d I s p @ z I S @ n;dɪspəzɪʃən
3;dĭſpŏſsĕʹſs;;;;v.;63.0;72;dispossess;11;dispossess;d I s p @ z E s;dɪspəzɛs
5;dĭſprŏpŏʹrtion;F.;;;n.;65.0;72;disproportion;14;disproportion;d I s p r\ @ p O: r\ S @ n;dɪspɹəpOːɹʃən
5;dĭſprŏpŏʹrtionāte;;;;a.;66.0;72;disproportionate;17;disproportionate;d I s p r\ @ p O: r\ S @ n i t;dɪspɹəpOːɹʃənit
2;dĭſproʹve;;;;v.;67.0;72;disprove;9;disprove;d i s p r\ u v;dispɹuv
5;dĭſpūtāʹtion;L.;;;n.;70.0;72;disputation;12;disputation;d i s p j u t eI S @ n;dispjut?ʃən
2;dĭſpūʹte;L.;;;v.;71.0;72;dispute;8;dispute;d i s p j u t;dispjut
4;dĭſquaʹlĭfy;;;;v.;72.0;72;disqualify;11;disqualify;d i s k w A l @ f aI;diskwɑləf?
3;dĭſquīʹĕt;;;;v.;73.0;72;disquiet;9;disquiet;d i s k w aI @ t;diskw?ət
3;dĭſrēgăʹrd;F.;;;v.;3.0;73;disregard;10;disregard;d I s r\ i g A r\ d;dɪsɹigɑɹd
3;dĭſrepūʹte;L.;;;n.;5.0;73;disrepute;10;disrepute;d I s r\ i p j u t;dɪsɹipjut
3;dĭſreſpĕʹct;;;;n.;7.0;73;disrespect;11;disrespect;d I s r\ i s p E k t;dɪsɹispɛkt
6;dĭſsătĭsfăʹction;;;;n.;8.0;73;dissatisfaction;16;dissatisfaction;d I s { 4 i s f { k S @ n;dɪsæɾisfækʃən
4;dĭſsăʹtĭsfy;L.;;;v.;10.0;73;dissatisfy;11;dissatisfy;d i s { 4 @ s f aI;disæɾəsf?
2;dĭſsĕʹct;L.;;;v.;11.0;73;dissect;8;dissect;d aI s E k t;d?sɛkt
4;dĭſsĕʹction;;;;n.;12.0;73;dissection;11;dissection;d aI s E k S @ n;d?sɛkʃən
3;dĭſsĕʹmble;L.;;;v.;17.0;73;dissemble;10;dissemble;d i s E m b @ l;disɛmbəl
4;dĭſsĕʹmĭnāte;L.;;;v.;19.0;73;disseminate;12;disseminate;d i s E m @ n eI t;disɛmən?t
2;dĭſsĕʹnt;L.;;;v.;21.0;73;dissent;8;dissent;d i s E n t;disɛnt
3;dĭſsĕʹnt_e_r;;;;n.;22.0;73;dissenter;12;dissenter;d i s E n t 3:r;disɛntɜ:r
5;dĭſsĕrtāʹtion;L.;;;n.;23.0;73;dissertation;13;dissertation;d I s 3:r t eI S @ n;dɪsɜ:rt?ʃən
3;dĭſsĕʹrvĭce;;;;n.;24.0;73;disservice;11;disservice;d i s s 3:r v @ s;dissɜ:rvəs
4;dĭſsĭʹmĭlar;F.;;;a.;26.0;73;dissimilar;11;dissimilar;d i s s I m @ l 3:r;dissɪməlɜ:r
3;dĭʹſsĭpāte;;;;v.;29.0;73;dissipate;10;dissipate;d I s @ p eI t;dɪsəp?t
5;dĭſsĭpāʹtion;F.;;Ne correspond à aucune {POS}. Comme indiqué dans le dictionnaire.;s.;30.0;73;dissipation;12;dissipation;d I s i p eI S @ n;dɪsip?ʃən
2;dĭſsŏʹlve;L.;;;v.;32.0;73;dissolve;9;dissolve;d i z A l v;dizɑlv
5;dĭſsŏlūʹtion;;;;n.;36.0;73;dissolution;12;dissolution;d I s @ l u S @ n;dɪsəluʃən
3;dĭʹſsŏnănce;F.;;;n.;37.0;73;dissonance;11;dissonance;d I s @ n @ n s;dɪsənəns
3;dĭʹſsŏnănt;;;;a.;38.0;73;dissonant;10;dissonant;d I s @ n @ n t;dɪsənənt
2;dĭſſuāʹde;L.;;;v.;39.0;73;dissuade;9;dissuade;d i s w eI d;disw?d
2;dĭʹſtănce;L.;;;n.;43.0;73;distance;9;distance;d I s t @ n s;dɪstəns
3;dĭʹſtănced;;;;a.;44.0;73;distanced;10;distanced;d I s t @ n s t;dɪstənst
3;dĭſtĕʹmp_e_r;;;;n.;47.0;73;distemper;12;distemper;d i s t E m p 3:r;distɛmpɜ:r
2;dĭſtĕʹnd;L.;;;v.;49.0;73;distend;8;distend;d i s t E n d;distɛnd
2;dĭſtĭʹl;L.;;;v.;52.0;73;distil;7;distil;d i s t I l;distɪl
5;dĭſtĭllāʹtion;;;;n.;53.0;73;distillation;13;distillation;d I s t @ l eI S @ n;dɪstəl?ʃən
3;dĭſtĭʹller;;;;n.;54.0;73;distiller;10;distiller;d i s t I l 3:r;distɪlɜ:r
2;dĭſtĭʹnct;;;;a.;55.0;73;distinct;9;distinct;d i s t I N k t;distɪŋkt
4;dĭſtĭʹnction;;;;n.;56.0;73;distinction;12;distinction;d i s t I N k S @ n;distɪŋkʃən
2;dĭſtŏʹrt;L.;;;v.;58.0;73;distort;8;distort;d i s t O: r\ t;distOːɹt
4;dĭſtŏʹrtion;;;;n.;59.0;73;distortion;11;distortion;d i s t O: r\ S @ n;distOːɹʃən
